éûä‘,5f0ãzçûâ∑ìx,5f1ãzçûâ∑ìx,5f2ãzçûâ∑ìx,5f3ãzçûâ∑ìx,5f4ãzçûâ∑ìx,5f5ãzçûâ∑ìx,5f6ãzçûâ∑ìx,5f7ãzçûâ∑ìx,5f8ãzçûâ∑ìx,5f9ãzçûâ∑ìx
2021-08-25 00:00:00,25.6,25.6,27.2,27.2,25.6,25.6,28.1,28.1,28.1,25.2
2021-08-25 00:30:00,25.6,25.6,27.2,27.2,25.6,25.6,28.1,28.1,28.1,24.8
2021-08-25 01:00:00,25.6,25.6,26.8,26.8,25.6,25.6,28.1,28.1,28.1,24.8
2021-08-25 01:30:00,25.6,25.6,26.8,26.8,25.6,25.6,27.6,27.6,27.6,24.8
2021-08-25 02:00:00,25.6,25.6,26.8,26.8,25.6,25.6,27.6,27.6,27.6,24.8
2021-08-25 02:30:00,25.6,25.6,26.8,26.8,25.6,25.6,27.6,27.6,27.6,24.8
2021-08-25 03:00:00,25.6,25.6,26.8,26.8,25.6,25.6,27.6,27.6,27.6,24.8
2021-08-25 03:30:00,25.6,25.6,26.8,26.8,25.6,25.6,27.6,27.6,27.6,24.8
2021-08-25 04:00:00,25.6,25.6,26.8,26.8,25.6,25.6,27.2,27.2,27.2,24.8
2021-08-25 04:30:00,25.6,25.6,26.8,26.8,25.6,25.6,27.2,27.2,27.2,24.8
2021-08-25 05:00:00,25.6,25.6,26.4,26.4,25.6,25.6,27.2,27.2,27.2,24.8
2021-08-25 05:30:00,25.6,25.6,26.4,26.4,25.6,25.6,27.2,27.2,27.2,24.8
2021-08-25 06:00:00,25.6,25.6,26.4,26.4,25.6,25.6,27.2,27.2,27.2,24.8
2021-08-25 06:30:00,25.6,25.6,26.4,26.4,25.6,25.6,27.2,27.2,27.2,24.4
2021-08-25 07:00:00,25.6,25.6,26.4,26.4,25.6,25.6,27.2,27.2,27.2,24.8
2021-08-25 07:30:00,24.4,24.4,25.2,25.2,23.2,23.2,24.8,24.8,24.8,25.2
2021-08-25 08:00:00,23.2,23.2,23.6,23.6,24.4,24.4,24.8,24.8,24.8,24.4
2021-08-25 08:30:00,22.8,22.8,23.2,23.2,24.8,24.8,24.8,24.8,24.8,25.2
2021-08-25 09:00:00,24.8,24.8,25.2,25.2,25.2,25.2,24.8,24.8,24.8,24.4
2021-08-25 09:30:00,25.2,25.2,25.2,25.2,25.2,25.2,25.6,25.6,25.6,25.2
2021-08-25 10:00:00,25.2,25.2,25.2,25.2,24.4,24.4,25.2,25.2,25.2,25.2
2021-08-25 10:30:00,25.2,25.2,25.6,25.6,25.2,25.2,25.6,25.6,25.6,25.2
2021-08-25 11:00:00,24.8,24.8,24.8,24.8,25.2,25.2,25.2,25.2,25.2,25.2
2021-08-25 11:30:00,25.2,25.2,25.6,25.6,24.8,24.8,25.6,25.6,25.6,25.2
2021-08-25 12:00:00,25.2,25.2,24.8,24.8,24.8,24.8,24.8,24.8,24.8,25.2
2021-08-25 12:30:00,25.2,25.2,25.6,25.6,24.8,24.8,25.2,25.2,25.2,24.8
2021-08-25 13:00:00,25.2,25.2,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8
2021-08-25 13:30:00,25.2,25.2,25.6,25.6,25.2,25.2,25.6,25.6,25.6,25.6
2021-08-25 14:00:00,24.8,24.8,24.8,24.8,25.2,25.2,24.8,24.8,24.8,24.8
2021-08-25 14:30:00,25.2,25.2,25.2,25.2,25.6,25.6,25.6,25.6,25.6,25.2
2021-08-25 15:00:00,25.2,25.2,24.8,24.8,24.8,24.8,25.2,25.2,25.2,24.4
2021-08-25 15:30:00,25.6,25.6,26,26,26,26,26.4,26.4,26.4,25.2
2021-08-25 16:00:00,25.2,25.2,25.2,25.2,24.8,24.8,25.2,25.2,25.2,25.2
2021-08-25 16:30:00,25.2,25.2,26,26,25.6,25.6,26,26,26,25.6
2021-08-25 17:00:00,24.8,24.8,24.8,24.8,24.4,24.4,24.8,24.8,24.8,24.8
2021-08-25 17:30:00,24.8,24.8,25.6,25.6,25.6,25.6,26,26,26,25.2
2021-08-25 18:00:00,25.2,25.2,25.2,25.2,24.4,24.4,24.8,24.8,24.8,25.2
2021-08-25 18:30:00,24.8,24.8,25.2,25.2,24.8,24.8,24.8,24.8,24.8,24.8
2021-08-25 19:00:00,24.4,24.4,25.2,25.2,25.2,25.2,24.8,24.8,24.8,24.4
2021-08-25 19:30:00,25.2,25.2,24.8,24.8,25.2,25.2,25.2,25.2,25.2,25.2
2021-08-25 20:00:00,24.4,24.4,24.8,24.8,25.2,25.2,25.2,25.2,25.2,25.2
2021-08-25 20:30:00,25.2,25.2,25.2,25.2,24.8,24.8,25.2,25.2,25.2,24.8
2021-08-25 21:00:00,24.8,24.8,24.8,24.8,24.8,24.8,25.2,25.2,25.2,25.2
2021-08-25 21:30:00,25.2,25.2,25.2,25.2,24.8,24.8,25.2,25.2,25.2,24.8
2021-08-25 22:00:00,25.2,25.2,25.2,25.2,24.8,24.8,24.8,24.8,24.8,25.2
2021-08-25 22:30:00,25.2,25.2,25.2,25.2,24.4,24.4,25.2,25.2,25.2,25.6
2021-08-25 23:00:00,25.2,25.2,26.4,26.4,24.8,24.8,26.8,26.8,26.8,26
2021-08-25 23:30:00,25.2,25.2,27.2,27.2,25.2,25.2,27.6,27.6,27.6,26
