éûä‘,5f0ãzçûâ∑ìx,5f1ãzçûâ∑ìx,5f2ãzçûâ∑ìx,5f3ãzçûâ∑ìx,5f4ãzçûâ∑ìx,5f5ãzçûâ∑ìx,5f6ãzçûâ∑ìx,5f7ãzçûâ∑ìx,5f8ãzçûâ∑ìx,5f9ãzçûâ∑ìx
2021-08-26 00:00:00,25.6,25.6,27.2,27.2,25.2,25.2,27.6,27.6,27.6,25.6
2021-08-26 00:30:00,25.6,25.6,27.2,27.2,25.2,25.2,28.1,28.1,28.1,25.6
2021-08-26 01:00:00,25.6,25.6,27.2,27.2,25.2,25.2,28.1,28.1,28.1,25.6
2021-08-26 01:30:00,25.6,25.6,27.2,27.2,25.2,25.2,28.1,28.1,28.1,25.2
2021-08-26 02:00:00,25.6,25.6,27.2,27.2,25.2,25.2,27.6,27.6,27.6,25.2
2021-08-26 02:30:00,25.6,25.6,26.8,26.8,25.2,25.2,27.6,27.6,27.6,24.8
2021-08-26 03:00:00,25.6,25.6,26.8,26.8,25.2,25.2,27.6,27.6,27.6,24.8
2021-08-26 03:30:00,25.6,25.6,26.8,26.8,25.2,25.2,27.6,27.6,27.6,24.8
2021-08-26 04:00:00,25.6,25.6,26.8,26.8,25.2,25.2,27.6,27.6,27.6,24.8
2021-08-26 04:30:00,25.6,25.6,26.8,26.8,25.2,25.2,27.6,27.6,27.6,24.8
2021-08-26 05:00:00,25.6,25.6,26.4,26.4,25.2,25.2,27.2,27.2,27.2,24.8
2021-08-26 05:30:00,25.6,25.6,26.4,26.4,25.6,25.6,27.2,27.2,27.2,24.8
2021-08-26 06:00:00,25.6,25.6,26.4,26.4,25.2,25.2,27.2,27.2,27.2,24.8
2021-08-26 06:30:00,25.6,25.6,26.4,26.4,25.6,25.6,27.2,27.2,27.2,24.8
2021-08-26 07:00:00,25.6,25.6,26.4,26.4,25.6,25.6,27.2,27.2,27.2,24.8
2021-08-26 07:30:00,24.4,24.4,25.2,25.2,24.4,24.4,24.4,24.4,24.4,24.8
2021-08-26 08:00:00,25.2,25.2,25.6,25.6,25.2,25.2,24.8,24.8,24.8,25.2
2021-08-26 08:30:00,24.8,24.8,25.6,25.6,25.2,25.2,24.8,24.8,24.8,25.2
2021-08-26 09:00:00,22.8,22.8,24,24,25.2,25.2,24.8,24.8,24.8,24
2021-08-26 09:30:00,24.8,24.8,25.2,25.2,25.2,25.2,25.2,25.2,25.2,24.8
2021-08-26 10:00:00,25.2,25.2,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8
2021-08-26 10:30:00,25.2,25.2,25.2,25.2,25.2,25.2,25.6,25.6,25.6,25.2
2021-08-26 11:00:00,25.2,25.2,24.8,24.8,24.8,24.8,24.8,24.8,24.8,25.2
2021-08-26 11:30:00,25.2,25.2,25.6,25.6,25.2,25.2,25.6,25.6,25.6,25.2
2021-08-26 12:00:00,25.2,25.2,24.8,24.8,24.8,24.8,25.2,25.2,25.2,24.8
2021-08-26 12:30:00,24.8,24.8,25.6,25.6,24.8,24.8,25.2,25.2,25.2,24.8
2021-08-26 13:00:00,25.2,25.2,24.8,24.8,24.8,24.8,24.8,24.8,24.8,25.2
2021-08-26 13:30:00,25.2,25.2,25.6,25.6,25.6,25.6,26,26,26,25.6
2021-08-26 14:00:00,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2
2021-08-26 14:30:00,25.2,25.2,25.6,25.6,25.6,25.6,26,26,26,25.2
2021-08-26 15:00:00,25.2,25.2,25.2,25.2,25.2,25.2,25.6,25.6,25.6,25.2
2021-08-26 15:30:00,25.6,25.6,26,26,26,26,26.4,26.4,26.4,25.2
2021-08-26 16:00:00,25.2,25.2,25.2,25.2,24.8,24.8,25.2,25.2,25.2,25.2
2021-08-26 16:30:00,26,26,26.4,26.4,26,26,26.4,26.4,26.4,25.2
2021-08-26 17:00:00,24.8,24.8,25.2,25.2,24.4,24.4,24.8,24.8,24.8,25.2
2021-08-26 17:30:00,25.6,25.6,26,26,25.2,25.2,26,26,26,25.6
2021-08-26 18:00:00,24.8,24.8,24.8,24.8,24.4,24.4,24.8,24.8,24.8,25.2
2021-08-26 18:30:00,24.4,24.4,24.8,24.8,25.2,25.2,24.8,24.8,24.8,24.8
2021-08-26 19:00:00,25.2,25.2,24.8,24.8,25.2,25.2,25.2,25.2,25.2,24.8
2021-08-26 19:30:00,24.8,24.8,24.8,24.8,25.2,25.2,25.2,25.2,25.2,26
2021-08-26 20:00:00,25.2,25.2,24.8,24.8,24.8,24.8,25.2,25.2,25.2,25.2
2021-08-26 20:30:00,24.8,24.8,26,26,24.8,24.8,25.2,25.2,25.2,24.8
2021-08-26 21:00:00,25.2,25.2,27.2,27.2,24.8,24.8,24.8,24.8,24.8,24.4
2021-08-26 21:30:00,25.2,25.2,27.2,27.2,24.8,24.8,24.8,24.8,24.8,24.4
2021-08-26 22:00:00,25.2,25.2,27.2,27.2,24.8,24.8,25.6,25.6,25.6,24.4
2021-08-26 22:30:00,25.6,25.6,27.2,27.2,25.2,25.2,27.2,27.2,27.2,25.2
2021-08-26 23:00:00,25.6,25.6,27.2,27.2,25.2,25.2,28.1,28.1,28.1,25.6
2021-08-26 23:30:00,25.6,25.6,27.2,27.2,25.2,25.2,28.1,28.1,28.1,25.6
