éûä‘,5f0ãzçûâ∑ìx,5f1ãzçûâ∑ìx,5f2ãzçûâ∑ìx,5f3ãzçûâ∑ìx,5f4ãzçûâ∑ìx,5f5ãzçûâ∑ìx,5f6ãzçûâ∑ìx,5f7ãzçûâ∑ìx,5f8ãzçûâ∑ìx,5f9ãzçûâ∑ìx
2021-08-22 00:00:00,26,26,26.4,26.4,26,26,27.2,27.2,27.2,25.2
2021-08-22 00:30:00,26,26,26.4,26.4,26,26,27.2,27.2,27.2,25.2
2021-08-22 01:00:00,26,26,26.4,26.4,26,26,27.2,27.2,27.2,25.2
2021-08-22 01:30:00,26,26,26.4,26.4,26,26,27.2,27.2,27.2,25.2
2021-08-22 02:00:00,26,26,26.4,26.4,26,26,27.2,27.2,27.2,25.2
2021-08-22 02:30:00,26,26,26.4,26.4,26,26,27.2,27.2,27.2,25.2
2021-08-22 03:00:00,26,26,26.4,26.4,26,26,27.2,27.2,27.2,25.2
2021-08-22 03:30:00,26,26,26.4,26.4,26,26,27.2,27.2,27.2,25.2
2021-08-22 04:00:00,26,26,26.4,26.4,26,26,27.2,27.2,27.2,24.8
2021-08-22 04:30:00,26,26,26.4,26.4,26,26,27.2,27.2,27.2,24.8
2021-08-22 05:00:00,26,26,26.4,26.4,26,26,27.2,27.2,27.2,24.8
2021-08-22 05:30:00,26,26,26.4,26.4,26,26,27.2,27.2,27.2,24.8
2021-08-22 06:00:00,26,26,26.4,26.4,26,26,27.6,27.6,27.6,24.8
2021-08-22 06:30:00,26,26,26.4,26.4,26,26,27.2,27.2,27.2,24.8
2021-08-22 07:00:00,26,26,26.4,26.4,26,26,27.6,27.6,27.6,24.8
2021-08-22 07:30:00,26,26,26.4,26.4,26,26,27.6,27.6,27.6,24.8
2021-08-22 08:00:00,26,26,26.4,26.4,26,26,27.6,27.6,27.6,24.8
2021-08-22 08:30:00,26.4,26.4,26.4,26.4,26.4,26.4,27.6,27.6,27.6,24.8
2021-08-22 09:00:00,26.4,26.4,26.8,26.8,26.4,26.4,27.6,27.6,27.6,24.8
2021-08-22 09:30:00,26.4,26.4,26.8,26.8,26.4,26.4,27.6,27.6,27.6,25.2
2021-08-22 10:00:00,26.4,26.4,26.8,26.8,26.4,26.4,27.6,27.6,27.6,25.2
2021-08-22 10:30:00,26.4,26.4,26.8,26.8,26.4,26.4,27.6,27.6,27.6,25.2
2021-08-22 11:00:00,26.4,26.4,26.8,26.8,26.8,26.8,27.6,27.6,27.6,25.2
2021-08-22 11:30:00,26.8,26.8,26.8,26.8,26.8,26.8,27.6,27.6,27.6,25.2
2021-08-22 12:00:00,26.8,26.8,26.8,26.8,26.8,26.8,27.6,27.6,27.6,25.2
2021-08-22 12:30:00,26.8,26.8,26.8,26.8,26.8,26.8,27.6,27.6,27.6,25.2
2021-08-22 13:00:00,26.8,26.8,26.8,26.8,27.2,27.2,27.6,27.6,27.6,25.6
2021-08-22 13:30:00,27.2,27.2,26.8,26.8,27.2,27.2,27.6,27.6,27.6,25.6
2021-08-22 14:00:00,27.2,27.2,26.8,26.8,27.2,27.2,28.1,28.1,28.1,25.6
2021-08-22 14:30:00,27.2,27.2,27.2,27.2,27.6,27.6,28.1,28.1,28.1,25.6
2021-08-22 15:00:00,27.6,27.6,27.2,27.2,27.6,27.6,28.1,28.1,28.1,25.6
2021-08-22 15:30:00,27.2,27.2,27.2,27.2,27.6,27.6,28.1,28.1,28.1,26
2021-08-22 16:00:00,27.6,27.6,27.2,27.2,27.6,27.6,28.1,28.1,28.1,26
2021-08-22 16:30:00,27.6,27.6,27.2,27.2,28.5,28.5,28.1,28.1,28.1,26
2021-08-22 17:00:00,28.1,28.1,27.2,27.2,28.9,28.9,28.1,28.1,28.1,26
2021-08-22 17:30:00,28.5,28.5,27.2,27.2,28.9,28.9,28.1,28.1,28.1,26
2021-08-22 18:00:00,28.1,28.1,27.2,27.2,28.5,28.5,28.1,28.1,28.1,25.6
2021-08-22 18:30:00,27.6,27.6,27.2,27.2,28.5,28.5,28.1,28.1,28.1,25.6
2021-08-22 19:00:00,27.6,27.6,27.2,27.2,28.1,28.1,28.5,28.5,28.5,25.6
2021-08-22 19:30:00,27.6,27.6,27.2,27.2,28.1,28.1,28.1,28.1,28.1,25.6
2021-08-22 20:00:00,27.2,27.2,27.2,27.2,27.6,27.6,28.1,28.1,28.1,25.6
2021-08-22 20:30:00,27.2,27.2,27.2,27.2,27.6,27.6,28.1,28.1,28.1,25.6
2021-08-22 21:00:00,27.2,27.2,27.2,27.2,27.6,27.6,28.1,28.1,28.1,25.6
2021-08-22 21:30:00,27.2,27.2,27.2,27.2,27.2,27.2,28.1,28.1,28.1,25.6
2021-08-22 22:00:00,27.2,27.2,27.2,27.2,27.2,27.2,28.1,28.1,28.1,25.6
2021-08-22 22:30:00,27.2,27.2,27.2,27.2,27.2,27.2,28.1,28.1,28.1,25.6
2021-08-22 23:00:00,26.8,26.8,27.2,27.2,27.2,27.2,28.1,28.1,28.1,25.2
2021-08-22 23:30:00,26.8,26.8,27.2,27.2,27.2,27.2,28.1,28.1,28.1,25.2
