éûä‘,5f0ãzçûâ∑ìx,5f1ãzçûâ∑ìx,5f2ãzçûâ∑ìx,5f3ãzçûâ∑ìx,5f4ãzçûâ∑ìx,5f5ãzçûâ∑ìx,5f6ãzçûâ∑ìx,5f7ãzçûâ∑ìx,5f8ãzçûâ∑ìx,5f9ãzçûâ∑ìx
2020-12-23 00:00:00,23.6,23.6,22,22,22.8,22.8,24.8,24.8,24.8,25.2
2020-12-23 00:30:00,23.6,23.6,22,22,22.8,22.8,24.8,24.8,24.8,24.8
2020-12-23 01:00:00,23.6,23.6,22,22,22.8,22.8,24.8,24.8,24.8,24.8
2020-12-23 01:30:00,23.6,23.6,21.6,21.6,22.4,22.4,24.8,24.8,24.8,24.8
2020-12-23 02:00:00,23.6,23.6,21.6,21.6,22.4,22.4,24.4,24.4,24.4,24.4
2020-12-23 02:30:00,23.2,23.2,21.6,21.6,22.4,22.4,24.4,24.4,24.4,24.4
2020-12-23 03:00:00,23.2,23.2,21.2,21.2,22.4,22.4,24.4,24.4,24.4,24.4
2020-12-23 03:30:00,23.2,23.2,21.2,21.2,22.4,22.4,24,24,24,24.4
2020-12-23 04:00:00,23.2,23.2,21.2,21.2,22.4,22.4,24,24,24,24.4
2020-12-23 04:30:00,23.2,23.2,21.2,21.2,22.1,22.1,24,24,24,24
2020-12-23 05:00:00,23.2,23.2,21.2,21.2,22.1,22.1,24,24,24,24
2020-12-23 05:30:00,23.2,23.2,20.8,20.8,22.1,22.1,23.6,23.6,23.6,24
2020-12-23 06:00:00,22.8,22.8,20.8,20.8,22.1,22.1,23.6,23.6,23.6,24
2020-12-23 06:30:00,22.8,22.8,20.8,20.8,22.1,22.1,23.6,23.6,23.6,24
2020-12-23 07:00:00,22.8,22.8,20.8,20.8,22.1,22.1,21.7,21.7,21.7,24
2020-12-23 07:30:00,24.8,24.8,25.6,25.6,22.1,22.1,21.3,21.3,21.3,23.6
2020-12-23 08:00:00,25.2,25.2,26.4,26.4,22.4,22.4,21.3,21.3,21.3,23.6
2020-12-23 08:30:00,25.6,25.6,27.2,27.2,22.8,22.8,22.1,22.1,22.1,23.6
2020-12-23 09:00:00,26,26,27.2,27.2,23.2,23.2,22.4,22.4,22.4,24
2020-12-23 09:30:00,25.6,25.6,21.2,21.2,23.6,23.6,22.4,22.4,22.4,24.4
2020-12-23 10:00:00,25.2,25.2,21.2,21.2,23.6,23.6,22.8,22.8,22.8,25.2
2020-12-23 10:30:00,25.6,25.6,25.2,25.2,24,24,22.8,22.8,22.8,25.2
2020-12-23 11:00:00,25.2,25.2,25.6,25.6,24,24,23.2,23.2,23.2,25.6
2020-12-23 11:30:00,25.2,25.2,24.4,24.4,24,24,23.2,23.2,23.2,25.2
2020-12-23 12:00:00,25.2,25.2,24,24,24.4,24.4,23.2,23.2,23.2,26
2020-12-23 12:30:00,24.8,24.8,24,24,24.4,24.4,23.2,23.2,23.2,26
2020-12-23 13:00:00,24.8,24.8,23.2,23.2,24.4,24.4,23.2,23.2,23.2,26
2020-12-23 13:30:00,24.8,24.8,23.2,23.2,24.4,24.4,23.2,23.2,23.2,26.4
2020-12-23 14:00:00,24.8,24.8,23.6,23.6,24.8,24.8,23.2,23.2,23.2,25.6
2020-12-23 14:30:00,25.2,25.2,23.6,23.6,25.2,25.2,23.6,23.6,23.6,26.4
2020-12-23 15:00:00,26,26,25.2,25.2,25.2,25.2,23.6,23.6,23.6,26
2020-12-23 15:30:00,26,26,25.2,25.2,26,26,24,24,24,26.8
2020-12-23 16:00:00,25.6,25.6,24.8,24.8,25.6,25.6,23.6,23.6,23.6,26.4
2020-12-23 16:30:00,25.6,25.6,24.4,24.4,25.6,25.6,23.2,23.2,23.2,26
2020-12-23 17:00:00,25.6,25.6,24.4,24.4,25.2,25.2,23.2,23.2,23.2,26
2020-12-23 17:30:00,25.2,25.2,24.4,24.4,25.2,25.2,23.6,23.6,23.6,25.6
2020-12-23 18:00:00,25.2,25.2,24,24,24.8,24.8,23.6,23.6,23.6,25.6
2020-12-23 18:30:00,24.8,24.8,24,24,24.8,24.8,23.2,23.2,23.2,25.6
2020-12-23 19:00:00,24.8,24.8,23.6,23.6,24.4,24.4,23.2,23.2,23.2,25.2
2020-12-23 19:30:00,24.8,24.8,25.2,25.2,24,24,22.8,22.8,22.8,25.2
2020-12-23 20:00:00,24.8,24.8,26.4,26.4,24,24,22.4,22.4,22.4,24.4
2020-12-23 20:30:00,24.8,24.8,26.8,26.8,23.6,23.6,22.4,22.4,22.4,26.4
2020-12-23 21:00:00,24.4,24.4,26.8,26.8,23.6,23.6,22.4,22.4,22.4,26.4
2020-12-23 21:30:00,24.4,24.4,26.8,26.8,23.6,23.6,22.1,22.1,22.1,25.6
2020-12-23 22:00:00,24.4,24.4,26.4,26.4,23.6,23.6,24,24,24,25.6
2020-12-23 22:30:00,24,24,26.4,26.4,23.6,23.6,24.8,24.8,24.8,25.6
2020-12-23 23:00:00,24,24,26.4,26.4,23.2,23.2,25.2,25.2,25.2,24.8
2020-12-23 23:30:00,24,24,26,26,23.2,23.2,25.2,25.2,25.2,25.2
